 #  Elapsed Time    Sqr Displ.      Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni   ********
  0.16998710E-08   2044.0390562   2044.0390562       410
  0.17085808E-08   2050.2448524   2050.2448524       411
  0.17101637E-08   2062.6873405   2062.6873405       412
  0.17133280E-08   2068.9240174   2068.9240174       413
  0.17143022E-08   2075.0191321   2075.0191321       414
  0.17169523E-08   2081.1538785   2081.1538785       415
  0.17171831E-08   2087.3005871   2087.3005871       416
  0.17202310E-08   2093.5984494   2093.5984494       417
  0.17291395E-08   2099.7836046   2099.7836046       418
  0.17294017E-08   2093.5984536   2093.5984536       419
  0.17339676E-08   2099.9326504   2099.9326504       420
  0.17358570E-08   2105.9370621   2105.9370621       421
  0.17424476E-08   2112.1867708   2112.1867708       422
  0.17438530E-08   2118.2662364   2118.2662364       423
  0.17507000E-08   2124.4780857   2124.4780857       424
  0.17526137E-08   2130.6569831   2130.6569831       425
  0.17631493E-08   2136.7112264   2136.7112264       426
  0.17632766E-08   2142.9303857   2142.9303857       427
  0.17643207E-08   2149.1270996   2149.1270996       428
  0.17672443E-08   2155.2740886   2155.2740886       429
  0.17681293E-08   2161.3431272   2161.3431272       430
  0.17701588E-08   2167.4140832   2167.4140832       431
  0.17738268E-08   2173.6277361   2173.6277361       432
  0.17742068E-08   2180.0405243   2180.0405243       433
  0.17799353E-08   2186.2776068   2186.2776068       434
  0.17832858E-08   2192.4051382   2192.4051382       435
  0.17868011E-08   2198.6421929   2198.6421929       436
  0.17897882E-08   2204.6777962   2204.6777962       437
  0.17903478E-08   2210.9230563   2210.9230563       438
  0.17925983E-08   2216.8901986   2216.8901986       439
  0.17974563E-08   2223.0684054   2223.0684054       440
  0.17986500E-08   2229.1545119   2229.1545119       441
  0.17999953E-08   2235.5197673   2235.5197673       442
  0.18037334E-08   2241.4604530   2241.4604530       443
  0.18041033E-08   2247.7322065   2247.7322065       444
  0.18108615E-08   2247.6842436   2247.6842436       445
  0.18160985E-08   2253.6402857   2253.6402857       446
  0.18258293E-08   2259.6807663   2259.6807663       447
  0.18342655E-08   2266.3122039   2266.3122039       448
  0.18355952E-08   2272.3778872   2272.3778872       449
  0.18357146E-08   2278.4278551   2278.4278551       450
  0.18447014E-08   2284.5986800   2284.5986800       451
  0.18471874E-08   2290.7511141   2290.7511141       452
  0.18486157E-08   2297.0899637   2297.0899637       453
  0.18502922E-08   2303.4550871   2303.4550871       454
  0.18541797E-08   2315.8673751   2315.8673751       455
  0.18559288E-08   2322.2280668   2322.2280668       456
  0.18567732E-08   2328.1002868   2328.1002868       457
  0.18583331E-08   2334.4171738   2334.4171738       458
  0.18598191E-08   2340.3747484   2340.3747484       459
  0.18608329E-08   2352.5780189   2352.5780189       460
  0.18612164E-08   2359.0876715   2359.0876715       461
  0.18645400E-08   2371.4169335   2371.4169335       462
  0.18657226E-08   2365.4257632   2365.4257632       463
  0.18695255E-08   2371.5339561   2371.5339561       464
  0.18791493E-08   2377.9389529   2377.9389529       465
  0.18805878E-08   2384.1494226   2384.1494226       466
  0.18819158E-08   2377.9389505   2377.9389505       467
  0.18943125E-08   2377.8282159   2377.8282159       468
  0.19017576E-08   2384.1345690   2384.1345690       469
  0.19034086E-08   2396.1801181   2396.1801181       470
  0.19053424E-08   2402.6538613   2402.6538613       471
  0.19075911E-08   2408.6953327   2408.6953327       472
  0.19093734E-08   2415.0391138   2415.0391138       473
  0.19102812E-08   2427.2457594   2427.2457594       474
  0.19103417E-08   2433.6926475   2433.6926475       475
  0.19133264E-08   2439.6377375   2439.6377375       476
  0.19156815E-08   2446.1823004   2446.1823004       477
  0.19159404E-08   2452.3884047   2452.3884047       478
  0.19175385E-08   2452.2713316   2452.2713316       479
  0.19183624E-08   2458.3694729   2458.3694729       480
  0.19220125E-08   2458.4161491   2458.4161491       481
  0.19299765E-08   2470.5587902   2470.5587902       482
  0.19301977E-08   2476.8391047   2476.8391047       483
  0.19316528E-08   2483.4716698   2483.4716698       484
  0.19363217E-08   2489.4886408   2489.4886408       485
  0.19485788E-08   2495.7174897   2495.7174897       486
  0.19489440E-08   2502.0196985   2502.0196985       487
  0.19508822E-08   2508.1847315   2508.1847315       488
  0.19525197E-08   2514.2576271   2514.2576271       489
  0.19612513E-08   2520.3959230   2520.3959230       490
  0.19648377E-08   2532.6086536   2532.6086536       491
  0.19659954E-08   2538.9813821   2538.9813821       492
  0.19685341E-08   2532.6485543   2532.6485543       493
  0.19695190E-08   2539.2058648   2539.2058648       494
  0.19746143E-08   2545.3546408   2545.3546408       495
  0.19808292E-08   2551.3823742   2551.3823742       496
  0.19816111E-08   2557.6355744   2557.6355744       497
  0.19831777E-08   2563.7061862   2563.7061862       498
  0.19895007E-08   2570.0507800   2570.0507800       499
  0.19907263E-08   2576.0459366   2576.0459366       500
  0.19930626E-08   2582.4177378   2582.4177378       501
  0.19992545E-08   2588.5091117   2588.5091117       502
  0.20078272E-08   2594.9184106   2594.9184106       503
  0.20100456E-08   2600.7198553   2600.7198553       504
  0.20119093E-08   2607.1214599   2607.1214599       505
  0.20154000E-08   2613.2590668   2613.2590668       506
  0.20157746E-08   2607.1214370   2607.1214370       507
  0.20231763E-08   2613.5959200   2613.5959200       508
  0.20290615E-08   2619.4996675   2619.4996675       509
  0.20308301E-08   2619.6158749   2619.6158749       510
  0.20366866E-08   2626.0076258   2626.0076258       511
  0.20371545E-08   2619.6159815   2619.6159815       512
  0.20476251E-08   2631.7820442   2631.7820442       513
  0.20515102E-08   2625.5851368   2625.5851368       514
  0.20732340E-08   2631.7818775   2631.7818775       515
  0.20761685E-08   2638.1342716   2638.1342716       516
  0.20765924E-08   2631.7818994   2631.7818994       517
  0.20811492E-08   2637.8341680   2637.8341680       518
  0.20843376E-08   2644.2054242   2644.2054242       519
  0.20855465E-08   2637.8343501   2637.8343501       520
  0.20934155E-08   2650.3413759   2650.3413759       521
  0.20938803E-08   2656.2497912   2656.2497912       522
  0.21018988E-08   2662.4381530   2662.4381530       523
  0.21030064E-08   2656.2497931   2656.2497931       524
  0.21051348E-08   2668.5917386   2668.5917386       525
  0.21056008E-08   2675.0119928   2675.0119928       526
  0.21075083E-08   2681.3507864   2681.3507864       527
  0.21078036E-08   2687.4381890   2687.4381890       528
  0.21087557E-08   2693.4423275   2693.4423275       529
  0.21148494E-08   2705.8728294   2705.8728294       530
  0.21196025E-08   2712.2086602   2712.2086602       531
  0.21209502E-08   2712.0599983   2712.0599983       532
  0.21270143E-08   2717.9921364   2717.9921364       533
  0.21300666E-08   2718.4767786   2718.4767786       534
  0.21356371E-08   2724.4803949   2724.4803949       535
  0.21367317E-08   2731.0658448   2731.0658448       536
  0.21418504E-08   2737.0943586   2737.0943586       537
  0.21435404E-08   2743.0200492   2743.0200492       538
  0.21448848E-08   2749.5737971   2749.5737971       539
  0.21480084E-08   2755.8622776   2755.8622776       540
